Provider,Name,Date,HN,HS,HN_after_qc,HS_after_qc,HS_after_gapfill
FR_METEOFRANCE,Col_de_porte,1961-01-01,2,64,2,64,64
FR_METEOFRANCE,Col_de_porte,1961-01-02,6,67,6,67,67
FR_METEOFRANCE,Col_de_porte,1961-01-03,7,72,7,72,72
FR_METEOFRANCE,Col_de_porte,1961-01-04,20,91,20,91,91
FR_METEOFRANCE,Col_de_porte,1961-01-05,8,92,8,92,92
FR_METEOFRANCE,Col_de_porte,1961-01-06,2,91,2,91,91
FR_METEOFRANCE,Col_de_porte,1961-01-07,20,109,20,109,109
FR_METEOFRANCE,Col_de_porte,1961-01-08,5,103,5,103,103
FR_METEOFRANCE,Col_de_porte,1961-01-09,8,106,8,106,106
FR_METEOFRANCE,Col_de_porte,1961-01-10,9,114,9,114,114
FR_METEOFRANCE,Col_de_porte,1961-01-11,22,129,22,129,129
FR_METEOFRANCE,Col_de_porte,1961-01-12,6,125,6,125,125
FR_METEOFRANCE,Col_de_porte,1961-01-13,0,120,0,120,120
FR_METEOFRANCE,Col_de_porte,1961-01-14,0,115,0,115,115
FR_METEOFRANCE,Col_de_porte,1961-01-15,0,112,0,112,112
FR_METEOFRANCE,Col_de_porte,1961-01-16,0,108,0,108,108
FR_METEOFRANCE,Col_de_porte,1961-01-17,2,108,2,108,108
FR_METEOFRANCE,Col_de_porte,1961-01-18,0,106,0,106,106
FR_METEOFRANCE,Col_de_porte,1961-01-19,0,103,0,103,103
FR_METEOFRANCE,Col_de_porte,1961-01-20,0,99,0,99,99
FR_METEOFRANCE,Col_de_porte,1961-01-21,0,99,0,99,99
FR_METEOFRANCE,Col_de_porte,1961-01-22,0,97,0,97,97
FR_METEOFRANCE,Col_de_porte,1961-01-23,1,97,1,97,97
FR_METEOFRANCE,Col_de_porte,1961-01-24,1,95,1,95,95
FR_METEOFRANCE,Col_de_porte,1961-01-25,20,109,20,109,109
FR_METEOFRANCE,Col_de_porte,1961-01-26,1,107,1,107,107
FR_METEOFRANCE,Col_de_porte,1961-01-27,0,102,0,102,102
FR_METEOFRANCE,Col_de_porte,1961-01-28,0,98,0,98,98
FR_METEOFRANCE,Col_de_porte,1961-01-29,12,110,12,110,110
FR_METEOFRANCE,Col_de_porte,1961-01-30,0,104,0,104,104
FR_METEOFRANCE,Col_de_porte,1961-01-31,0,104,0,104,104
FR_METEOFRANCE,Col_de_porte,1961-02-01,0,104,0,104,104
FR_METEOFRANCE,Col_de_porte,1961-02-02,22,126,22,126,126
FR_METEOFRANCE,Col_de_porte,1961-02-03,18,140,18,140,140
FR_METEOFRANCE,Col_de_porte,1961-02-04,25,152,25,152,152
FR_METEOFRANCE,Col_de_porte,1961-02-05,40,170,40,170,170
FR_METEOFRANCE,Col_de_porte,1961-02-06,5,165,5,165,165
FR_METEOFRANCE,Col_de_porte,1961-02-07,0,157,0,157,157
FR_METEOFRANCE,Col_de_porte,1961-02-08,14,162,14,162,162
FR_METEOFRANCE,Col_de_porte,1961-02-09,0,155,0,155,155
FR_METEOFRANCE,Col_de_porte,1961-02-10,0,150,0,150,150
FR_METEOFRANCE,Col_de_porte,1961-02-11,0,150,0,150,150
FR_METEOFRANCE,Col_de_porte,1961-02-12,0,150,0,150,150
FR_METEOFRANCE,Col_de_porte,1961-02-13,2,152,2,152,152
FR_METEOFRANCE,Col_de_porte,1961-02-14,0,151,0,151,151
FR_METEOFRANCE,Col_de_porte,1961-02-15,0,148,0,148,148
FR_METEOFRANCE,Col_de_porte,1961-02-16,0,146,0,146,146
FR_METEOFRANCE,Col_de_porte,1961-02-17,0,145,0,145,145
FR_METEOFRANCE,Col_de_porte,1961-02-18,0,142,0,142,142
FR_METEOFRANCE,Col_de_porte,1961-02-19,0,142,0,142,142
FR_METEOFRANCE,Col_de_porte,1961-02-20,0,140,0,140,140
FR_METEOFRANCE,Col_de_porte,1961-02-21,0,140,0,140,140
FR_METEOFRANCE,Col_de_porte,1961-02-22,3,142,3,142,142
FR_METEOFRANCE,Col_de_porte,1961-02-23,1,140,1,140,140
FR_METEOFRANCE,Col_de_porte,1961-02-24,0,139,0,139,139
FR_METEOFRANCE,Col_de_porte,1961-02-25,0,136,0,136,136
FR_METEOFRANCE,Col_de_porte,1961-02-26,0,134,0,134,134
FR_METEOFRANCE,Col_de_porte,1961-02-27,0,133,0,133,133
FR_METEOFRANCE,Col_de_porte,1961-02-28,0,130,0,130,130
FR_METEOFRANCE,Col_de_porte,1961-03-01,16,146,16,146,146
FR_METEOFRANCE,Col_de_porte,1961-03-02,8,145,8,145,145
FR_METEOFRANCE,Col_de_porte,1961-03-03,0,141,0,141,141
FR_METEOFRANCE,Col_de_porte,1961-03-04,0,136,0,136,136
FR_METEOFRANCE,Col_de_porte,1961-03-05,0,136,0,136,136
FR_METEOFRANCE,Col_de_porte,1961-03-06,0,134,0,134,134
FR_METEOFRANCE,Col_de_porte,1961-03-07,0,130,0,130,130
FR_METEOFRANCE,Col_de_porte,1961-03-08,0,130,0,130,130
FR_METEOFRANCE,Col_de_porte,1961-03-09,0,126,0,126,126
FR_METEOFRANCE,Col_de_porte,1961-03-10,0,123,0,123,123
FR_METEOFRANCE,Col_de_porte,1961-03-11,0,122,0,122,122
FR_METEOFRANCE,Col_de_porte,1961-03-12,0,121,0,121,121
FR_METEOFRANCE,Col_de_porte,1961-03-13,0,118,0,118,118
FR_METEOFRANCE,Col_de_porte,1961-03-14,0,112,0,112,112
FR_METEOFRANCE,Col_de_porte,1961-03-15,0,111,0,111,111
FR_METEOFRANCE,Col_de_porte,1961-03-16,0,107,0,107,107
