Provider,Name,Date,HN,HS,HN_after_qc,HS_after_qc,HS_after_gapfill
FR_METEOFRANCE,Col_de_porte,1961-01-01,2.0,64.0,2.0,64.0,64
FR_METEOFRANCE,Col_de_porte,1961-01-02,6.0,67.0,6.0,67.0,67
FR_METEOFRANCE,Col_de_porte,1961-01-03,7.0,72.0,7.0,72.0,72
FR_METEOFRANCE,Col_de_porte,1961-01-04,20.0,91.0,20.0,91.0,91
FR_METEOFRANCE,Col_de_porte,1961-01-05,8.0,92.0,8.0,92.0,92
FR_METEOFRANCE,Col_de_porte,1961-01-06,2.0,91.0,2.0,91.0,91
FR_METEOFRANCE,Col_de_porte,1961-01-07,20.0,109.0,20.0,109.0,109
FR_METEOFRANCE,Col_de_porte,1961-01-08,5.0,103.0,5.0,103.0,103
FR_METEOFRANCE,Col_de_porte,1961-01-09,8.0,106.0,8.0,106.0,106
FR_METEOFRANCE,Col_de_porte,1961-01-10,9.0,114.0,9.0,114.0,114
FR_METEOFRANCE,Col_de_porte,1961-01-11,22.0,129.0,22.0,129.0,129
FR_METEOFRANCE,Col_de_porte,1961-01-12,6.0,125.0,6.0,125.0,125
FR_METEOFRANCE,Col_de_porte,1961-01-13,0.0,120.0,0.0,120.0,120
FR_METEOFRANCE,Col_de_porte,1961-01-14,0.0,115.0,0.0,115.0,115
FR_METEOFRANCE,Col_de_porte,1961-01-15,0.0,112.0,0.0,112.0,112
FR_METEOFRANCE,Col_de_porte,1961-01-16,0.0,108.0,0.0,108.0,108
FR_METEOFRANCE,Col_de_porte,1961-01-17,2.0,108.0,2.0,108.0,108
FR_METEOFRANCE,Col_de_porte,1961-01-18,0.0,106.0,0.0,106.0,106
FR_METEOFRANCE,Col_de_porte,1961-01-19,0.0,103.0,0.0,103.0,103
FR_METEOFRANCE,Col_de_porte,1961-01-20,0.0,99.0,0.0,99.0,99
FR_METEOFRANCE,Col_de_porte,1961-01-21,0.0,99.0,0.0,99.0,99
FR_METEOFRANCE,Col_de_porte,1961-01-22,0.0,97.0,0.0,97.0,97
FR_METEOFRANCE,Col_de_porte,1961-01-23,1.0,97.0,1.0,97.0,97
FR_METEOFRANCE,Col_de_porte,1961-01-24,1.0,95.0,1.0,95.0,95
