col_de_porte_daily.txt
(    season_year         mae      nmae  season_mean  predicted_mean   pct_error
0          1970   16.418007  0.311270    52.745283       47.779235   -9.415151
1          1971   50.419787  0.602593    83.671362       34.476033  -58.795898
2          1972   41.842466  0.741317    56.443396       25.387283  -55.021695
3          1973   36.969651  0.673446    54.896226       21.895047  -60.115569
4          1974   27.412831  0.428420    63.985849       45.719811  -28.546997
5          1975   32.289253  0.603299    53.521127       25.995698  -51.429091
6          1976   37.565088  0.648148    57.957547       22.425473  -61.307070
7          1977  115.598171  0.893594   129.363208       13.765036  -89.359388
8          1978   25.312537  0.637398    39.712264       28.213420  -28.955397
9          1979   94.496557  0.859867   109.896714       16.244755  -85.218161
10         1980   87.210389  0.810690   107.575472       23.253109  -78.384377
11         1981   68.088333  0.776771    87.655660       21.661561  -75.287893
12         1982   51.431876  0.736329    69.849057       21.004102  -69.929297
13         1983   84.817972  0.765843   110.751174       32.763884  -70.416671
14         1984   30.780708  0.601929    51.136792       30.724543  -39.916953
15         1985   64.811501  0.783042    82.768868       19.935636  -75.914089
16         1986   33.891105  0.599893    56.495283       31.347633  -44.512831
17         1987   47.527948  0.832384    57.098592       22.420496  -60.733714
18         1988   68.355149  1.930371    35.410377      103.636519  192.672732
19         1989   20.519292  3.525194     5.820755       25.273497  334.196220
20         1990   24.421279  0.462136    52.844340       30.559653  -42.170432
21         1991   21.367853  0.703129    30.389671       22.048937  -27.445951
22         1992   15.250019  1.696225     8.990566       17.229188   91.636298
23         1993   93.386863  1.673260    55.811321      140.203279  151.209390
24         1994   57.082466  0.889030    64.207547       20.918259  -67.420872
25         1995  106.856693  3.777045    28.291080      135.120779  377.609125
26         1996   21.423167  0.478780    44.745283       31.672500  -29.216003
27         1997   26.282748  0.517742    50.764151       33.494868  -34.018657
28         1998   40.693042  0.491927    82.721698       46.946163  -43.248067
29         1999   90.999045  1.298680    70.070423      139.563760   99.176421
30         2000   12.327523  0.680937    18.103774        8.709165  -51.893098
31         2001   18.458606  0.673649    27.400943       32.279389   17.803932
32         2002   26.193313  0.880866    29.735849       13.139558  -55.812400
33         2003   30.426690  0.611058    49.793427       23.602862  -52.598438
34         2004   21.124628  0.502967    42.000000       35.492959  -15.492955
35         2005   49.635123  0.880482    56.372642        7.727791  -86.291594
36         2006   15.814083  1.114556    14.188679       18.391399   29.620231
37         2007   21.613178  0.420613    51.384977       43.832273  -14.698272
38         2008   55.400975  1.038187    53.363208       -2.033004 -103.809748
39         2009   34.131727  0.941687    36.245283        2.714573  -92.510549
40         2010   10.673293  0.499170    21.382075       13.535692  -36.696078
41         2011   99.950356  2.458647    40.652582      137.945532  239.327848
42         2012   64.903794  0.768736    84.429245       20.546535  -75.664197
43         2013   41.065873  0.961879    42.693396        1.694232  -96.031630
44         2014   32.479311  0.788279    41.202830       25.012488  -39.294249
45         2015   24.073339  0.748339    32.169014        9.673375  -69.929526
46         2016   22.211881  1.179293    18.834906       37.920655  101.331804
47         2017   80.102249  0.969218    82.646226        2.543978  -96.921847
48         2018   39.501397  0.868073    45.504717        7.391298  -83.757072
49         2019   71.587620  2.412245    29.676768       92.453835  211.536066, np.float64(46.1039351381104), np.float64(0.9829727093683388), np.float64(53.467432510059396), np.float64(35.28509482163975), np.float64(-8.241236178051958))
les2alpes_daily.txt
(    season_year         mae      nmae  season_mean  predicted_mean   pct_error
0          1980  218.791221  1.315888   166.268868      384.725857  131.387789
1          1981  136.842486  0.550225   248.702830      140.124197  -43.657980
2          1982  147.906818  0.614877   240.547170      233.327303   -3.001435
3          1983  168.215902  0.698032   240.985915      404.713467   67.940714
4          1984   98.199365  0.533255   184.150943      138.865408  -24.591530
5          1985  192.102590  1.392476   137.957547      329.990242  139.196948
6          1986   57.388609  0.433554   132.367925      183.801810   38.856759
7          1987   57.541794  0.414110   138.953052      151.677700    9.157517
8          1988   73.508540  0.702227   104.679245      174.368252   66.573852
9          1989   80.669696  0.675034   119.504717      147.225455   23.196354
10         1990   35.345278  0.253140   139.627358      167.064063   19.649949
